# "All scores of the run."
,value,score,CV,CV_col,model,target,mean,sem
25,1.0,Acc_group,train,CV_25,XGBC,classifier_Selection,1.0,0.0
26,1.0,Acc_group,train,CV_26,XGBC,classifier_Selection,1.0,0.0
27,1.0,Acc_group,train,CV_27,XGBC,classifier_Selection,1.0,0.0
28,1.0,Acc_group,train,CV_28,XGBC,classifier_Selection,1.0,0.0
29,1.0,Acc_group,train,CV_29,XGBC,classifier_Selection,1.0,0.0
30,1.0,Acc_group,train,CV_30,XGBC,classifier_Selection,1.0,0.0
31,1.0,Acc_group,train,CV_31,XGBC,classifier_Selection,1.0,0.0
32,1.0,Acc_group,test,CV_0,XGBC,classifier_Selection,0.9375,0.043475521477515794
33,1.0,Acc_group,test,CV_1,XGBC,classifier_Selection,0.9375,0.043475521477515794
34,0.0,Acc_group,test,CV_2,XGBC,classifier_Selection,0.9375,0.043475521477515794
35,1.0,Acc_group,test,CV_3,XGBC,classifier_Selection,0.9375,0.043475521477515794
36,1.0,Acc_group,test,CV_4,XGBC,classifier_Selection,0.9375,0.043475521477515794
37,1.0,Acc_group,test,CV_5,XGBC,classifier_Selection,0.9375,0.043475521477515794
38,1.0,Acc_group,test,CV_6,XGBC,classifier_Selection,0.9375,0.043475521477515794
39,1.0,Acc_group,test,CV_7,XGBC,classifier_Selection,0.9375,0.043475521477515794
40,1.0,Acc_group,test,CV_8,XGBC,classifier_Selection,0.9375,0.043475521477515794
41,0.0,Acc_group,test,CV_9,XGBC,classifier_Selection,0.9375,0.043475521477515794
42,1.0,Acc_group,test,CV_10,XGBC,classifier_Selection,0.9375,0.043475521477515794
43,1.0,Acc_group,test,CV_11,XGBC,classifier_Selection,0.9375,0.043475521477515794
44,1.0,Acc_group,test,CV_12,XGBC,classifier_Selection,0.9375,0.043475521477515794
45,1.0,Acc_group,test,CV_13,XGBC,classifier_Selection,0.9375,0.043475521477515794
46,1.0,Acc_group,test,CV_14,XGBC,classifier_Selection,0.9375,0.043475521477515794
47,1.0,Acc_group,test,CV_15,XGBC,classifier_Selection,0.9375,0.043475521477515794
48,1.0,Acc_group,test,CV_16,XGBC,classifier_Selection,0.9375,0.043475521477515794
49,1.0,Acc_group,test,CV_17,XGBC,classifier_Selection,0.9375,0.043475521477515794
50,1.0,Acc_group,test,CV_18,XGBC,classifier_Selection,0.9375,0.043475521477515794
51,1.0,Acc_group,test,CV_19,XGBC,classifier_Selection,0.9375,0.043475521477515794
52,1.0,Acc_group,test,CV_20,XGBC,classifier_Selection,0.9375,0.043475521477515794
53,1.0,Acc_group,test,CV_21,XGBC,classifier_Selection,0.9375,0.043475521477515794
54,1.0,Acc_group,test,CV_22,XGBC,classifier_Selection,0.9375,0.043475521477515794
55,1.0,Acc_group,test,CV_23,XGBC,classifier_Selection,0.9375,0.043475521477515794
56,1.0,Acc_group,test,CV_24,XGBC,classifier_Selection,0.9375,0.043475521477515794
57,1.0,Acc_group,test,CV_25,XGBC,classifier_Selection,0.9375,0.043475521477515794
58,1.0,Acc_group,test,CV_26,XGBC,classifier_Selection,0.9375,0.043475521477515794
59,1.0,Acc_group,test,CV_27,XGBC,classifier_Selection,0.9375,0.043475521477515794
